url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier
https://www.amazon.com/s/ref=sr_nr_n_0?srs=11826283011&fst=as%3Aoff&rh=n%3A228013%2Cn%3A%21468240%2Cn%3A13397451&bbn=468240&ie=UTF8&qid=1484720296&rnid=468240	amazon	get	product_listing	product_listing	PYTHONREQUEST	FALSE	TRUE	A_001
https://www.amazon.com/s/ref=sr_nr_n_5?srs=11826283011&fst=as%3Aoff&rh=n%3A228013%2Cn%3A%21468240%2Cn%3A495224&bbn=468240&ie=UTF8&qid=1484720296&rnid=468240	amazon	get	product_listing	product_listing	PYTHONREQUEST	FALSE	TRUE	A_002
